source_link;name;doc_type;dictionary_type;txt
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;credit crunch
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;credit default swaps
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;credit reference agency
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;current account
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;day trading
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;dead cat bounce
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;defined benefit pension
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;defined contribution pension
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;deflation
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;demand pull inflation
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;demutualisation
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;depression
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;derivatives
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;diminishing returns
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;discount mortgage
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;dividend
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;dividend yield
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;dow jones industrial average
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ebit
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ebitda
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;earnings per share 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;economic growth
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;economies of scale
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;elasticity
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;endowment policy
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;enterprise value
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;equity
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;equity derivatives
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ethical investment
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;european bank for reconstruction and development
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;european central bank
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;externalities
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;final salary pension scheme
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;financial services authority
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;financial year
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;fiscal policy
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;fiscal year
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;fixed costs
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;fixed rate mortgage
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;flexible mortgage
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;foreign exchange 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;freehold
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ftse 100 index
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ftse 250
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ftse 350
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ftse all share
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ftse smallcap
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ftse techmark
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ftse4good
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;futures
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;gazumping
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;gazundering
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;gearing
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;gilts
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;glass steagall act
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;gold
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;golden handcuffs
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;golden handshake
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;golden hello
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;golden parachute
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;golden rule
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;golden share
